seed,info,fold,epochs,learning_rate,batch_size,hidden_size,best_fold_epoch,best_fold_train_loss,best_fold_train_acc,best_test_loss,best_test_acc,tensor_label,export_time
42,validation,off,200,0.001,128,256,192,1.5062551318212998,0.9550116819623293,1.5531516075134277,0.9094874591057798,VAE | s2345,2024-03-08 11:50:06.116899
2024,validation,off,200,0.001,128,256,199,1.5346692703491034,0.9264606957524505,1.565132975578308,0.8964013086150491,VAE | s2345,2024-03-08 11:50:06.116899
4042,validation,off,200,0.001,128,256,190,1.5368851201478826,0.9243660508360562,1.5726772546768188,0.8876772082878953,VAE | s2345,2024-03-08 11:50:06.116899
8096,validation,off,200,0.001,128,256,198,1.5348629064338153,0.9262947758504709,1.5649904012680054,0.8971283169756452,VAE | s2345,2024-03-08 11:50:06.116899
128000,validation,off,200,0.001,128,256,198,1.533953612626985,0.926733224822218,1.5701512098312378,0.8902217375499818,VAE | s2345,2024-03-08 11:50:06.116899
42,validation,off,200,0.001,128,256,199,1.616010617378146,0.8462147739285029,1.6282539367675781,0.8346055979643766,p_link | s2345,2024-03-08 11:51:18.873578
2024,validation,off,200,0.001,128,256,198,1.589835875256117,0.8734519147607149,1.6024503707885742,0.8596873864049437,p_link | s2345,2024-03-08 11:51:18.873578
4042,validation,off,200,0.001,128,256,199,1.6155725814575372,0.8469047304439745,1.634046196937561,0.8269720101781171,p_link | s2345,2024-03-08 11:51:18.873578
8096,validation,off,200,0.001,128,256,195,1.61661457738211,0.8454564974533922,1.6275137662887573,0.8331515812431843,p_link | s2345,2024-03-08 11:51:18.873578
128000,validation,off,200,0.001,128,256,193,1.6168630136999973,0.8457342819046704,1.6259326934814453,0.8353326063249727,p_link | s2345,2024-03-08 11:51:18.873578
42,validation,off,200,0.001,128,256,161,1.5505412955616795,0.9106487543244282,1.5849541425704956,0.8764085786986551,StandardAE | s2345,2024-03-08 11:52:30.744682
2024,validation,off,200,0.001,128,256,180,1.5500164198320965,0.9114610861522199,1.5822762250900269,0.8782260996001454,StandardAE | s2345,2024-03-08 11:52:30.744682
4042,validation,off,200,0.001,128,256,197,1.55183751777161,0.9093716966173361,1.5920283794403076,0.8698655034532897,StandardAE | s2345,2024-03-08 11:52:30.744682
8096,validation,off,200,0.001,128,256,189,1.553125265032746,0.9082012480780319,1.5847169160842896,0.8774990912395493,StandardAE | s2345,2024-03-08 11:52:30.744682
128000,validation,off,200,0.001,128,256,197,1.5325180403021879,0.9287527928598887,1.566234827041626,0.8949472918938568,StandardAE | s2345,2024-03-08 11:52:30.744682
42,validation,off,200,0.001,128,256,183,1.5292490110840908,0.9320614309052471,1.5633020401000977,0.8974918211559433,no_pareto | s2345,2024-03-08 11:53:43.495762
2024,validation,off,200,0.001,128,256,183,1.5324080309202506,0.9287910820680377,1.5658389329910278,0.8949472918938568,no_pareto | s2345,2024-03-08 11:53:43.495762
4042,validation,off,200,0.001,128,256,187,1.5308229881663655,0.9303722011339612,1.5675653219223022,0.8938567793529626,no_pareto | s2345,2024-03-08 11:53:43.495762
8096,validation,off,200,0.001,128,256,193,1.5322786583456882,0.9288819250912935,1.5711791515350342,0.8891312250090876,no_pareto | s2345,2024-03-08 11:53:43.495762
128000,validation,off,200,0.001,128,256,195,1.532278600127198,0.9288331251201231,1.564515233039856,0.8953107960741549,no_pareto | s2345,2024-03-08 11:53:43.495762
42,validation,off,200,0.001,128,256,167,1.4989983855291855,0.9621132039208149,1.5481059551239014,0.9123954925481643,pca single_task_stacked | s2345,2024-03-08 11:54:56.704115
2024,validation,off,200,0.001,128,256,157,1.5278693673222563,0.9326590428598887,1.5644850730895996,0.8956743002544529,pca single_task_stacked | s2345,2024-03-08 11:54:56.704115
4042,validation,off,200,0.001,128,256,195,1.4998222492461981,0.9611890075437247,1.5533714294433594,0.9069429298436932,pca single_task_stacked | s2345,2024-03-08 11:54:56.704115
8096,validation,off,200,0.001,128,256,168,1.4989876220392626,0.9620921823947723,1.54611074924469,0.9156670301708469,pca single_task_stacked | s2345,2024-03-08 11:54:56.704115
128000,validation,off,200,0.001,128,256,169,1.4984401838724004,0.9626635174418605,1.5424960851669312,0.9193020719738277,pca single_task_stacked | s2345,2024-03-08 11:54:56.704115
42,validation,off,200,0.001,128,256,198,1.6799449643423392,0.7816043628675764,1.688402771949768,0.7731733914940022,p_decor | s2345,2024-03-08 11:56:14.149497
2024,validation,off,200,0.001,128,256,198,1.67643181529156,0.7864730984528158,1.696061134338379,0.7651762995274446,p_decor | s2345,2024-03-08 11:56:14.149497
4042,validation,off,200,0.001,128,256,194,1.6789466683254686,0.7830315743321161,1.6973676681518555,0.7648127953471465,p_decor | s2345,2024-03-08 11:56:14.149497
8096,validation,off,200,0.001,128,256,198,1.678469723047212,0.7833581587545646,1.6959038972854614,0.7669938204289349,p_decor | s2345,2024-03-08 11:56:14.149497
128000,validation,off,200,0.001,128,256,199,1.6802583433860956,0.7827222575917739,1.699171543121338,0.7615412577244638,p_decor | s2345,2024-03-08 11:56:14.149497
42,validation,off,200,0.001,128,256,196,1.5490397062412529,0.9132186358831444,1.590781569480896,0.8709560159941839,p_minsg | s2345,2024-03-08 11:57:29.726356
2024,validation,off,200,0.001,128,256,183,1.5491812534110492,0.9134491219008264,1.5981484651565552,0.8644129407488186,p_minsg | s2345,2024-03-08 11:57:29.726356
4042,validation,off,200,0.001,128,256,198,1.574553998403771,0.8866451746588507,1.6262375116348267,0.8346055979643766,p_minsg | s2345,2024-03-08 11:57:29.726356
8096,validation,off,200,0.001,128,256,198,1.549051611922508,0.9132884573803575,1.5966538190841675,0.8665939658306071,p_minsg | s2345,2024-03-08 11:57:29.726356
128000,validation,off,200,0.001,128,256,192,1.5784060040185617,0.8834116134922161,1.617510199546814,0.8436932024718284,p_minsg | s2345,2024-03-08 11:57:29.726356
42,validation,off,200,0.001,128,256,199,1.5594839301220207,0.9020029009705938,1.585220217704773,0.8756815703380589,p_ming | s2345,2024-03-08 11:58:43.060144
2024,validation,off,200,0.001,128,256,179,1.5606948331344959,0.9014525874495484,1.590790867805481,0.8705925118138859,p_ming | s2345,2024-03-08 11:58:43.060144
4042,validation,off,200,0.001,128,256,197,1.5419052270955818,0.9197225458869882,1.5761122703552246,0.8844056706652127,p_ming | s2345,2024-03-08 11:58:43.060144
8096,validation,off,200,0.001,128,256,198,1.5606081762979196,0.9012919229290793,1.5884672403335571,0.8731370410759723,p_ming | s2345,2024-03-08 11:58:43.060144
128000,validation,off,200,0.001,128,256,199,1.5434382031130236,0.9183651559196617,1.5682997703552246,0.8905852417302799,p_ming | s2345,2024-03-08 11:58:43.060144
42,validation,off,200,0.001,128,256,199,1.5400888018829877,0.9209508036229098,1.5717283487319946,0.8887677208287895,pareto | s2345,2024-03-08 11:59:58.025129
2024,validation,off,200,0.001,128,256,175,1.535344730976016,0.9258142838266384,1.5673447847366333,0.8938567793529626,pareto | s2345,2024-03-08 11:59:58.025129
4042,validation,off,200,0.001,128,256,193,1.5309759558633316,0.9302866134922161,1.5765724182128906,0.8844056706652127,pareto | s2345,2024-03-08 11:59:58.025129
8096,validation,off,200,0.001,128,256,188,1.5561688292858213,0.9048505669805882,1.5876585245132446,0.8731370410759723,pareto | s2345,2024-03-08 11:59:58.025129
128000,validation,off,200,0.001,128,256,189,1.5712086780126704,0.8882488167883913,1.6006094217300415,0.8589603780443476,pareto | s2345,2024-03-08 11:59:58.025129
42,validation,off,200,0.001,128,256,196,1.536930082842361,0.9246123029982702,1.5734992027282715,0.8880407124681934,p_recon | s2345,2024-03-08 12:01:11.859520
2024,validation,off,200,0.001,128,256,194,1.537614292876665,0.9237354050547761,1.573661208152771,0.8869501999272992,p_recon | s2345,2024-03-08 12:01:11.859520
4042,validation,off,200,0.001,128,256,187,1.5561313268750212,0.904925643859312,1.5969200134277344,0.8644129407488186,p_recon | s2345,2024-03-08 12:01:11.859520
8096,validation,off,200,0.001,128,256,190,1.538761739120927,0.9226452887757063,1.5735886096954346,0.8880407124681934,p_recon | s2345,2024-03-08 12:01:11.859520
128000,validation,off,200,0.001,128,256,187,1.5579538927521817,0.9026861005669805,1.5945760011672974,0.8665939658306071,p_recon | s2345,2024-03-08 12:01:11.859520
